Pressure,H2S,CH4
0.1,0.006021631,0.00942789
0.3,0.018188728,0.028841748
0.5,0.029373409,0.047983172
0.7,0.04172378,0.065615473
0.9,0.052825904,0.085815264
1,0.058188739,0.093090095
2,0.110907321,0.176699463
3,0.156881081,0.254858488
4,0.206832387,0.321167431
5,0.249011875,0.401314403
6,0.29539016,0.462009541
7,0.328092224,0.52130453
8,0.369274437,0.571315276
9,0.40125166,0.629708754
10,0.427355853,0.687666337
20,0.664274932,1.033656692
30,0.80321,1.24665766
40,0.888378025,1.405711613
50,0.933587317,1.534347
