NAME,H2S_Heat,CO2_Heat,CH4_Heat
ACO_0,-17.22330465,-19.95233977,-17.92203992
AEI_0,-14.34665459,-17.40810783,-16.09905535
AEI_1,-17.9453626,-22.29452534,-19.96663865
AEL_0,-17.50712665,-21.86690773,-19.6714208
AEL_1,-22.50829085,-28.20933105,-25.15521866
AEL_2,-22.60218258,-28.38750264,-25.32505527
AET_0,-11.76355161,-13.96163363,-13.1413847
AET_1,-11.61546713,-13.86731794,-12.93805874
AFI_0,-12.79019209,-15.40756925,-14.32604972
AFI_1,-16.75891466,-20.71745259,-18.6890223
AFN_0,-16.89497318,-21.20471077,-18.89770326
AFO_0,-17.11885304,-21.09993292,-19.32864684
AFO_1,-22.35945113,-27.99181493,-25.06707094
AFR_0,-13.33510106,-15.40118833,-14.70144567
AFR_1,-18.5395272,-20.49136899,-19.20554892
AFS_0,-12.8158862,-14.99242884,-14.32876371
AFS_1,-15.83099088,-18.82447128,-17.49200945
AFT_0,-14.54719289,-17.41252874,-16.30461707
AFT_1,-18.4264233,-22.37215181,-20.46895403
AFV,-15.92359661,-19.54860535,-18.0424526
AFX_0,-14.70299114,-17.45616512,-16.46110123
AFX_1,-18.65515979,-22.37653469,-20.67596097
AFY_0,-13.42209656,-15.88635247,-14.56901458
AHT_1,-22.36861458,-27.64893822,-24.92728034
APC_1,-22.04042962,-30.47656221,-22.07154521
APC_2,-20.13114031,-27.08205288,-19.11330923
APD_0,-20.63832593,-21.99929418,-22.73031415
ASV_0,-18.3813048,-22.44731547,-20.86047313
ATN_0,-18.66267833,-22.12311248,-21.2115613
ATN_1,-28.57163367,-35.06159291,-32.24647488
ATO_0,-16.59401631,-20.30522166,-18.86469137
ATO_1,-21.73304314,-27.19618784,-24.55730128
ATS_0,-13.00928414,-15.57496727,-14.56403496
ATS_1,-13.19450397,-15.85707457,-14.80594462
ATT_0,-18.49007253,-22.08194342,-20.94965907
ATT_1,-22.59350487,-28.35485834,-25.34869905
ATV_0,-20.51280022,-20.92243127,-22.31058397
AVE,-16.72738822,-20.29339083,-18.93797992
AVL,-16.69444744,-20.10330896,-18.96805487
AWO_0,-19.97562992,-21.08438428,-22.27365669
AWO_1,-26.42845912,-32.23612442,-29.23509188
AWW_0,-16.51565839,-20.30337134,-18.65125469
BEA_0,-13.28713204,-16.22252036,-15.01614324
BEA_1,-13.17120629,-16.04496527,-14.88612585
BEA_B_1,-13.2378263,-16.17147552,-14.95581581
BEC_0,-13.24634616,-16.29850109,-15.03078152
BEC_2,-12.68056226,-15.49106138,-14.32165231
BOF_0,-18.09553651,-21.99180762,-20.45809245
BOG_0,-14.02723452,-16.66802443,-15.79566605
BOG_1,-13.99124172,-16.48125132,-15.81494912
BOZ_0,-12.89040667,-14.73373157,-14.44897064
BPH_0,-12.92505605,-15.25212416,-14.54908485
BRE_1,-18.09932136,-21.68547708,-20.49362042
BSV_0,-18.95506185,-22.89336936,-21.38860108
CAN_0,-15.81872321,-19.15182425,-17.62466714
CAN_1,-15.56052667,-18.90638033,-17.47902076
CDO_0,-18.57485448,-22.47956396,-21.07359925
CDO_1,-19.99215028,-24.0327649,-22.67348219
CFI_0,-12.48806698,-14.92939558,-13.94026702
CFI_1,-13.36803104,-16.19165903,-14.99242846
CGF_0,-19.79169772,-23.77743494,-22.4302133
CGS_0,-16.71075639,-20.47324662,-18.92144724
CHA_0,-14.4926281,-17.61760999,-16.30245542
CLO_0,-13.61676273,-16.98032813,-15.71030363
CON_0,-13.8072348,-16.7016311,-15.5388635
CON_1,-12.72691066,-15.34984176,-14.33851617
CON_2,-14.32384733,-17.32290734,-16.15840173
CSV,-13.82057585,-16.58385494,-15.48490789
CZP_0,-19.25851984,-23.84644033,-19.77526943
DAC_0,-18.96827477,-20.99608276,-21.42921966
DDR_0,-21.80530169,-19.56237334,-23.66607598
DDR_1,-22.46974432,-19.84351408,-24.96781415
DFO_0,-13.43988905,-16.24889807,-15.26601649
DFO_1,-12.69981569,-15.3654932,-14.39639199
DFT_0,-20.3801448,-20.62326251,-22.50393551
DON_0,-11.71975377,-13.93078957,-13.10015677
DON_1,-11.70460307,-13.92895921,-13.08251767
EAB_0,-16.75195173,-20.21628329,-19.03598607
EAB_1,-14.80843186,-17.92809737,-16.79263338
EAB_2,-16.58823034,-20.0778614,-18.94179388
EDI_0,-18.62658096,-21.74482931,-21.07329595
EDI_2,-14.92984821,-17.88678196,-16.7779598
EMT_0,-18.16401397,-16.79401126,-21.90524744
EMT_1,-17.17398415,-15.53762456,-20.70047566
EMT_2,-17.30690421,-16.22387527,-20.75906287
EON_0,-17.88487253,-20.62571641,-20.45410086
EON_1,-17.54391679,-20.6369911,-20.02062397
EPI_0,-18.54289056,-22.09963706,-20.99999999
