NAME,H2S_Heat,CO2_Heat,CH4_Heat,LCD,PLD,LFPD,Density,AVSA,AGSA,VF,PV,H2S_CH4
ACO_0,-17.22330465,-19.95233977,-17.92203992,3.91932,3.15925,3.91898,1.64272,0,0,0.458,0.278805,0.915633256
AEI_0,-14.34665459,-17.40810783,-16.09905535,6.90319,3.44131,6.90319,1.50157,1307.46,870.728,0.5006,0.333385,0.681900094
AEI_1,-17.9453626,-22.29452534,-19.96663865,7.07458,3.42592,7.07458,1.49921,1387.85,925.72,0.5356,0.357255,0.765349778
AEL_0,-17.50712665,-21.86690773,-19.6714208,5.22554,4.07159,5.22554,1.91427,624.624,326.299,0.3574,0.186703,0.534513159
AEL_1,-22.50829085,-28.20933105,-25.15521866,5.016,3.90771,5.016,1.93447,677.95,350.457,0.442,0.228486,0.473517081
AEL_2,-22.60218258,-28.38750264,-25.32505527,5.23651,4.10294,5.23651,1.90289,647.893,340.478,0.448,0.235431,0.4506292
AET_0,-11.76355161,-13.96163363,-13.1413847,7.76765,7.17001,7.76765,1.81715,763.156,419.974,0.406,0.223427,0.712257514
AET_1,-11.61546713,-13.86731794,-12.93805874,7.54739,6.82582,7.54125,1.74998,802.247,458.433,0.4252,0.242975,0.715164265
AFI_0,-12.79019209,-15.40756925,-14.32604972,7.56946,7.01861,7.56946,1.68556,891.053,528.638,0.4524,0.268397,0.689879836
AFI_1,-16.75891466,-20.71745259,-18.6890223,7.71001,6.92943,7.71001,1.75399,886.797,505.589,0.483,0.275372,0.777778639
AFN_0,-16.89497318,-21.20471077,-18.89770326,4.75303,3.08413,4.75303,1.73559,0,0,0.429,0.247178,0.598011853
AFO_0,-17.11885304,-21.09993292,-19.32864684,5.02827,4.33443,5.02827,1.91635,664.775,346.897,0.3654,0.190675,0.507010043
AFO_1,-22.35945113,-27.99181493,-25.06707094,5.08958,4.05259,5.05529,1.93104,591.52,306.322,0.4076,0.211078,0.461797188
AFR_0,-13.33510106,-15.40118833,-14.70144567,7.81561,6.57251,7.81561,1.51326,1234.45,815.752,0.5022,0.331866,0.702049413
AFR_1,-18.5395272,-20.49136899,-19.20554892,7.78626,6.29102,7.63478,1.51376,1343.83,887.749,0.525,0.34682,0.717498062
AFS_0,-12.8158862,-14.99242884,-14.32876371,9.11169,5.61223,9.11169,1.7103,1406.5,822.37,0.5274,0.308368,0.665297523
AFS_1,-15.83099088,-18.82447128,-17.49200945,9.36274,5.53478,9.36274,1.39201,1519.81,1091.81,0.5726,0.411349,0.666215974
AFT_0,-14.54719289,-17.41252874,-16.30461707,7.13987,3.28045,6.80663,1.63607,0,0,0.4982,0.304511,0.63715286
AFT_1,-18.4264233,-22.37215181,-20.46895403,7.0829,3.3145,7.08271,1.50804,1240.89,822.849,0.536,0.355428,0.748695696
AFV,-15.92359661,-19.54860535,-18.0424526,6.4479,3.06438,6.43556,1.57008,0,0,0.4896,0.31183,0.535760411
AFX_0,-14.70299114,-17.45616512,-16.46110123,7.11659,3.33392,6.7371,1.60162,1151.19,718.762,0.5134,0.32055,0.638333013
AFX_1,-18.65515979,-22.37653469,-20.67596097,7.23746,3.10458,7.23746,1.48543,0,0,0.5428,0.365415,0.654981147
AFY_0,-13.42209656,-15.88635247,-14.56901458,7.42157,5.50247,7.42157,1.83258,1692.48,923.552,0.5454,0.297614,0.708941796
AHT_1,-22.36861458,-27.64893822,-24.92728034,3.91619,2.98644,3.72504,1.86452,0,0,0.4168,0.223542,0.469380257
APC_1,-22.04042962,-30.47656221,-22.07154521,3.68475,2.95815,3.63231,1.76315,0,0,0.4508,0.255678,1.189370571
APC_2,-20.13114031,-27.08205288,-19.11330923,3.70781,3.08218,3.70781,1.82142,0,0,0.45,0.247059,1.744234433
APD_0,-20.63832593,-21.99929418,-22.73031415,4.21666,3.22754,4.21268,1.79457,0,0,0.4016,0.223786,0.558028631
ASV_0,-18.3813048,-22.44731547,-20.86047313,4.94907,4.0279,4.94907,1.90542,637.193,334.411,0.3664,0.192293,0.490895213
ATN_0,-18.66267833,-22.12311248,-21.2115613,5.51283,3.70725,5.51283,1.77769,613.767,345.262,0.4024,0.226362,0.420761738
ATN_1,-28.57163367,-35.06159291,-32.24647488,5.51228,3.69006,5.51228,2.59578,631.208,243.167,0.3508,0.135143,0.243942227
ATO_0,-16.59401631,-20.30522166,-18.86469137,5.33713,5.08989,5.33713,2.6219,609.485,232.459,0.3768,0.143713,0.510911089
ATO_1,-21.73304314,-27.19618784,-24.55730128,5.3751,5.12587,5.3751,1.92269,630.856,328.111,0.4192,0.218028,0.445113142
ATS_0,-13.00928414,-15.57496727,-14.56403496,6.58439,6.37122,6.58439,1.6031,1035.35,645.838,0.4596,0.286694,0.622254697
ATS_1,-13.19450397,-15.85707457,-14.80594462,6.53185,6.21082,6.53185,1.63532,1010.35,617.828,0.4468,0.273219,0.614681593
ATT_0,-18.49007253,-22.08194342,-20.94965907,4.90334,3.39122,4.90334,1.7041,729.347,427.996,0.4382,0.257145,0.492785128
