Name,H2S,CH4_withH2S,CO2,CH4_withCO2,GCMC_H2S_CH4,GCMC_CO2_CH4,LCD,PLD,PV,H2S_HEAT,CO2_HEAT,CH4_HEAT,,,,
ABW-0,0.412744201,0.109555809,0.655653205,0.1133872,3.767433273,5.782426991,3.61163,3.10046,0.237557,-19.14019317,-27.09457015,-14.85912704,,,,
ABW-1,0.054142229,0.002669838,0.05086561,0.002727626,20.27922109,18.64830532,3.38975,3.04443,0.184595,-17.74923401,-22.07896487,-6.406619241,,,,
ACO-0,1.425123172,1.072889514,0.355770326,0.908761913,1.328303757,0.391489037,3.91932,3.15925,0.278805,-18.97446419,-22.64127581,-17.98073571,,,,
AEI-0,1.50079169,1.372389061,1.338863912,1.229674098,1.093561391,1.088795734,6.90319,3.44131,0.333385,-16.37312404,-19.81874219,-16.09599575,,,,
AEL-0,0.483885553,0.790355187,0.541789826,0.696869258,0.612238094,0.777462658,5.22554,4.07159,0.186703,-18.06048861,-23.30195416,-19.64306918,,,,
AEN-0,0.393375357,0.118462974,0.516141662,0.118150915,3.320660834,4.368494849,3.90726,3.18878,0.171894,-20.21150836,-28.43323482,-16.23021399,,,,
AET-0,0.570345532,0.654127583,0.558857139,0.587849728,0.871917875,0.950680272,7.76765,7.17146,0.223427,-12.55462242,-14.77848063,-13.15768108,,,,
AET-1,1.354584363,0.585445718,0.925994502,0.618893815,2.313765942,1.496209009,7.54739,6.82582,0.242975,-19.62244028,-17.7919044,-12.95840569,,,,
AFG-0,0.743389929,1.02183898,0.665879877,0.936708526,0.727502027,0.710872015,5.83766,2.14429,0.254408,-19.38391816,-21.77931495,-19.60816909,,,,
AFG-1,2.546447317,0.868521718,1.219518698,1.145653187,2.931932807,1.064474582,5.62596,1.94522,0.277613,-27.45992959,-24.54586844,-19.01257733,,,,
AFI-0,0.671847523,0.834337778,0.68919569,0.757359383,0.805246438,0.90999822,7.56744,7.01861,0.268397,-13.2639241,-16.07882671,-14.32115257,,,,
AFN-0,0.710404141,0.738631993,0.853242387,0.627365638,0.961783606,1.360040039,4.75303,3.08413,0.247178,-19.14415661,-25.01054376,-18.89428715,,,,
AFO-0,0.492165517,0.797487468,0.59073454,0.683461125,0.617145143,0.86432793,5.02827,4.33443,0.190675,-17.96267936,-22.97802019,-19.32337568,,,,
AFR-0,1.509255807,1.360081224,1.326441269,1.220455645,1.109680643,1.086841029,7.81561,6.57251,0.331866,-16.86086827,-17.41086809,-14.69588704,,,,
AFS-0,1.740172831,1.510824358,1.405622514,1.395339428,1.151803532,1.007369594,9.11169,5.61223,0.361282,-15.67434068,-17.03808712,-14.30768966,,,,
