Name,H2S_CH4,CO2_CH4
ACO_0,0.915633256,0.406052299
AEI_0,0.681900094,0.701940973
AEI_1,0.765349778,0.812975811
AEL_0,0.534513159,0.556409833
AEL_1,0.473517081,0.515980753
AEL_2,0.4506292,0.611883343
AET_0,0.712257514,0.754043407
AET_1,0.715164265,0.798385891
AFI_0,0.689879836,0.81204303
AFI_1,0.777778639,0.979874741
AFN_0,0.598011853,0.569684718
AFO_0,0.507010043,0.523105206
AFO_1,0.461797188,0.509423062
AFR_0,0.702049413,0.7148669
AFR_1,0.717498062,0.678315152
AFS_0,0.665297523,0.685565812
AFS_1,0.666215974,0.709057573
AFT_0,0.63715286,0.726841104
AFT_1,0.748695696,0.944317902
AFV,0.535760411,0.821363296
AFX_0,0.638333013,0.720365919
AFX_1,0.654981147,0.893242144
AFY_0,0.708941796,0.624197347
AHT_1,0.469380257,0.522032691
APC_1,1.189370571,2.025294506
APC_2,1.744234433,1.331477054
APD_0,0.558028631,0.037290691
ASV_0,0.490895213,0.40159711
ATN_0,0.420761738,0.436495526
ATN_1,0.243942227,0.893077123
ATO_0,0.510911089,0.528612627
ATO_1,0.445113142,0.712806652
ATS_0,0.622254697,0.757597969
ATS_1,0.614681593,0.755273137
ATT_0,0.492785128,0.432577488
ATT_1,0.582410588,0.771771031
ATV_0,0.615434309,0.055861941
AVE,0.496675616,0.636537904
AVL,0.514177057,0.670609639
AWO_0,0.538210992,0.08351959
AWO_1,0.394592101,0.332386975
AWW_0,0.622825506,0.800725221
BEA_0,0.609929691,0.793453523
BEA_1,0.605765897,0.797741085
BEA_B_1,0.609623034,0.798121743
BEC_0,0.616253557,0.840187043
BEC_2,0.621537774,0.845637465
BOF_0,0.492343515,0.405606019
BOG_0,0.620997076,0.690420799
BOG_1,0.636163374,0.687332939
BOZ_0,0.660112736,0.649704139
BPH_0,0.63906036,0.777984524
BRE_1,0.454123945,0.428302431
BSV_0,0.524591195,0.333806094
CAN_0,0.651425426,0.610689883
CAN_1,0.638687012,0.510604666
CDO_0,0.415471121,0.472175834
CDO_1,0.418820086,0.364389251
CFI_0,0.688576705,0.776281932
CFI_1,0.700112561,0.838083584
CGF_0,0.433528168,0.353137932
CGS_0,0.492542424,0.624433814
CHA_0,0.633300873,0.73667
CLO_0,0.673708191,0.779038033
CON_0,0.624659919,0.743059082
CON_1,0.629319495,0.749434833
CON_2,0.597140537,0.729159726
CSV,0.656288984,0.733836988
CZP_0,1.285463186,0.569929007
DAC_0,0.518090654,0.326187306
DDR_0,0.566223556,0.289725383
DDR_1,0.520042996,0.308506021
DFO_0,0.649077544,0.771399854
DFO_1,0.64088815,0.780306949
DFT_0,0.556097154,0.054630242
DON_0,0.699890736,0.798128672
