Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
ACO_0,1.231442347,0.915633256,0.528186202,1.312496669
AEI_0,0.668312235,0.681900094,0.886039086,1.025125324
AEI_1,6.77E-01,0.765349778,8.83E-01,1.019981527
AEL_0,5.96E-01,0.534513159,7.21E-01,1.05E+00
AEL_1,0.618508547,0.473517081,0.624751947,1.129625278
AEL_2,0.57862946,0.4506292,0.622973657,1.165432466
AET_0,6.86E-01,0.712257514,9.18E-01,1.00E+00
AET_1,7.26E-01,0.715164265,1.03E+00,1.04E+00
AFI_0,6.74E-01,0.689879836,9.84E-01,9.38E-01
AFI_1,6.75E-01,0.777778639,9.82E-01,0.98745177
AFN_0,6.59E-01,0.598011853,7.42E-01,1.10E+00
AFO_0,5.61E-01,0.507010043,6.64E-01,1.05E+00
AFO_1,0.579953368,0.461797188,0.579128537,1.089215674
AFR_0,7.26E-01,0.702049413,8.86E-01,1.06E+00
AFR_1,7.17E-01,0.717498062,7.99E-01,1.008802593
AFS_0,6.93E-01,0.665297523,8.58E-01,1.04E+00
AFS_1,7.15E-01,0.666215974,8.54E-01,1.094413367
AFT_0,6.46E-01,0.63715286,8.67E-01,1.05E+00
AFT_1,6.61E-01,0.748695696,8.67E-01,1.023729027
AFV,5.64E-01,0.535760411,8.59E-01,1.059432714
AFX_0,6.56E-01,0.638333013,8.62E-01,1.05E+00
AFX_1,6.76E-01,0.654981147,8.48E-01,1.143731157
AFY_0,7.72E-01,0.708941796,8.48E-01,1.09E+00
AHT_1,0.669170549,0.469380257,0.566364363,1.093844514
APC_1,1.282063395,1.189370571,0.73768246,1.14325042
APC_2,1.531340328,1.744234433,0.703103604,1.042157012
APD_0,0.679883216,0.558028631,0.076435583,1.140551326
ASV_0,0.56642748,0.490895213,0.497643628,1.167405296
ATN_0,5.30E-01,0.420761738,4.80E-01,1.300856365
ATN_1,0.48226015,0.243942227,0.459278726,1.206411526
ATO_0,5.64E-01,0.510911089,6.73E-01,1.14E+00
ATO_1,5.51E-01,0.445113142,6.69E-01,1.175165444
ATS_0,6.78E-01,0.622254697,9.24E-01,1.06E+00
ATS_1,6.63E-01,0.614681593,9.36E-01,1.04E+00
ATT_0,0.594090684,0.492785128,0.487867009,1.196127666
ATT_1,6.62E-01,0.582410588,5.32E-01,1.155355436
ATV_0,0.822227296,0.615434309,0.092497566,1.158934428
AVE,5.55E-01,0.496675616,7.88E-01,1.097763663
AVL,5.70E-01,0.514177057,7.68E-01,1.099421888
AWO_0,0.640097183,0.538210992,0.118838481,1.252567222
AWO_1,0.593882651,0.394592101,0.295445707,1.221763747
AWW_0,5.68E-01,0.622825506,9.18E-01,0.96444087
BEA_0,6.40E-01,0.609929691,9.59E-01,1.05E+00
BEA_1,6.38E-01,0.605765897,9.44E-01,1.06E+00
BEA_B_1,6.43E-01,0.609623034,9.50E-01,1.05E+00
BEC_0,6.26E-01,0.616253557,9.70E-01,1.03E+00
BEC_2,6.50E-01,0.621537774,9.71E-01,1.02E+00
BOF_0,0.54813815,0.492343515,0.543704326,1.126615183
BOG_0,6.51E-01,0.620997076,8.42E-01,1.04E+00
BOG_1,6.52E-01,0.636163374,8.34E-01,1.05E+00
BOZ_0,7.28E-01,0.660112736,8.42E-01,1.12E+00
BPH_0,6.69E-01,0.63906036,8.76E-01,1.04E+00
BRE_1,5.60E-01,0.454123945,4.72E-01,1.22E+00
BSV_0,0.641832148,0.524591195,0.398646003,1.202864218
CAN_0,6.35E-01,0.651425426,7.74E-01,9.81E-01
CAN_1,0.634062421,0.638687012,0.691248334,1.020009681
CDO_0,5.21E-01,0.415471121,5.14E-01,1.140758143
CDO_1,0.505640723,0.418820086,0.410232352,1.250914305
CFI_0,7.11E-01,0.688576705,9.77E-01,1.03E+00
CFI_1,6.97E-01,0.700112561,1.01E+00,9.84E-01
CGF_0,0.493896806,0.433528168,0.343016331,1.24496832
CGS_0,5.79E-01,0.492542424,7.21E-01,1.17E+00
CHA_0,6.36E-01,0.633300873,8.79E-01,1.03E+00
CLO_0,6.95E-01,0.673708191,9.14E-01,1.04E+00
CON_0,6.41E-01,0.624659919,9.01E-01,1.03E+00
CON_1,6.63E-01,0.629319495,8.66E-01,1.07E+00
CON_2,6.26E-01,0.597140537,8.91E-01,1.05E+00
CSV,6.57E-01,0.656288984,8.88E-01,1.01E+00
CZP_0,1.219650316,1.285463186,0.598514621,1.09159506
DAC_0,0.600316881,0.518090654,0.401462864,1.147963844
DDR_0,0.622543966,0.566223556,0.390949989,1.155942922
DDR_1,0.563618984,0.520042996,0.367177106,1.122997411
DFO_0,6.68E-01,0.649077544,8.89E-01,1.06E+00
DFO_1,6.68E-01,0.64088815,8.99E-01,1.04E+00
DFT_0,0.604024746,0.556097154,0.073152824,1.082897113
DON_0,7.10E-01,0.699890736,9.75E-01,1.02E+00
DON_1,7.09E-01,0.704958239,9.60E-01,1.01E+00
EAB_0,5.36E-01,0.503120067,7.27E-01,1.023203917
EAB_1,5.69E-01,0.496627216,7.46E-01,1.17E+00
EAB_2,5.73E-01,0.514885099,7.35E-01,1.118403594
EDI_0,0.552256954,0.433071259,0.346203593,1.239865296
EDI_2,5.79E-01,0.477682656,5.15E-01,1.24E+00
EMT_0,5.97E-01,0.631312588,6.22E-01,0.996437059
EMT_1,6.10E-01,0.634612913,6.10E-01,9.76E-01
EMT_2,6.27E-01,0.619508382,6.36E-01,1.002899351
EON_0,0.584893224,0.533970655,0.637910295,1.073094099
EON_1,5.90E-01,0.5609735,6.78E-01,1.053646371
EPI_0,0.583879128,0.490311503,0.428579743,1.204827285
EPI_1,0.534770446,0.463348474,0.308583503,1.204036397
ERI_0,6.08E-01,0.543008025,9.12E-01,1.131384825
ERI_1,6.28E-01,0.565391677,9.24E-01,1.087765208
ERI_2,5.82E-01,0.518974052,8.65E-01,1.049979832
ESV_0,5.38E-01,0.525009115,7.15E-01,1.052612255
ESV_1,0.519963273,0.561942206,0.723574781,0.960980949
ETL,5.32E-01,0.503731415,7.08E-01,1.044473902
ETR_0,6.32E-01,0.633062014,8.24E-01,1.023628972
ETR_1,6.35E-01,0.61323145,8.25E-01,1.02E+00
EUO_0,6.28E-01,0.601497403,8.66E-01,1.02E+00
EUO_1,5.76E-01,0.552961992,8.46E-01,1.050627816
EWS,5.75E-01,0.56494912,7.82E-01,1.08000329
EZT_0,5.88E-01,0.554094238,8.11E-01,1.07148166
EZT_1,6.02E-01,0.515084429,8.27E-01,1.080532709
FAU_0,6.05E-01,0.641183027,6.10E-01,0.971877592
FAU_1,6.22E-01,0.641183027,6.53E-01,1.01E+00
FAU_2,6.04E-01,0.641183027,6.33E-01,0.981335261
FAU_3,6.31E-01,0.641183027,7.20E-01,1.02E+00
FAU_4,6.11E-01,0.641183027,6.25E-01,1.00963673
FAU_5,6.22E-01,0.64285613,7.05E-01,9.84E-01
FAU_6,6.79E-01,0.657958667,6.96E-01,1.05E+00
FER_0,5.33E-01,0.498619201,6.33E-01,1.115741586
FER_1,5.35E-01,0.506139418,6.11E-01,1.136682121
FER_2,0.512981186,0.474123721,0.54974693,1.023190837
GIS_0,0.692508935,0.572100572,0.397024129,1.133647628
GIS_1,0.810045174,0.698334868,0.354585308,1.241174002
GIS_2,0.685411856,0.60900567,0.373346503,1.09591735
GIS_3,6.59E-01,0.43729224,5.96E-01,1.172724743
GIS_4,0.788239615,0.618245568,0.440800147,1.211130551
GIS_5,0.759927152,0.624668836,0.400695958,1.24843611
GIS_6,0.768747671,0.581688461,0.428615147,1.311402658
GME_0,6.75E-01,0.618411961,8.20E-01,1.09E+00
GME_1,6.87E-01,0.653962578,8.59E-01,1.09E+00
GON_0,6.03E-01,0.601656162,8.13E-01,1.05E+00
GON_1,5.95E-01,0.590767406,8.26E-01,1.01E+00
GOO_0,0.853577004,0.695591006,0.495639042,1.242881858
HEU_0,0.541021648,0.485231405,0.489721143,1.183205681
HEU_1,0.583646983,0.497711346,0.538418035,1.19623597
HEU_2,0.571320733,0.500239971,0.504222535,1.1935954
IFO_0,7.03E-01,0.678182795,9.65E-01,1.04E+00
IFO_1,7.06E-01,0.801915386,9.81E-01,1.04E+00
IFR_0,6.10E-01,0.57141431,9.05E-01,1.059287417
IFR_1,6.27E-01,0.593160949,8.95E-01,1.09E+00
IFT,7.45E-01,0.710221113,9.62E-01,1.05E+00
IFU,7.35E-01,0.702491224,9.56E-01,1.03E+00
IFW,6.63E-01,0.654179719,9.06E-01,9.96E-01
IFY,6.60E-01,0.664887959,7.60E-01,1.06E+00
IHW_0,6.03E-01,0.559992299,8.71E-01,1.049238548
IHW_1,5.59E-01,0.551427989,8.46E-01,1.035923503
IMF_0,0.591683408,0.560471313,0.694422654,1.087709805
IMF_1,0.597994757,0.562184156,0.697921455,1.076337276
IRN,6.61E-01,0.653863732,8.22E-01,1.02E+00
IRR_0,7.32E-01,0.690340362,9.09E-01,1.06E+00
IRR_1,7.41E-01,0.711599004,9.14E-01,1.08E+00
IRY,7.51E-01,0.724038243,9.76E-01,1.04E+00
ISV_0,6.63E-01,0.62453776,9.67E-01,1.08E+00
ISV_1,6.43E-01,0.612290034,9.81E-01,1.02E+00
ITE_0,6.77E-01,0.637503104,8.56E-01,1.06E+00
ITE_1,6.63E-01,0.647218022,8.66E-01,1.02E+00
ITG,6.46E-01,0.623688943,9.57E-01,1.07E+00
ITH_0,6.12E-01,0.58203951,7.87E-01,1.04E+00
ITH_1,6.19E-01,0.610011862,7.84E-01,1.060228826
ITR_0,6.15E-01,0.594781507,8.16E-01,1.03E+00
ITR_1,6.32E-01,0.610039337,8.03E-01,1.03E+00
