Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
ACO_0,1.231442347,0.938244169,0.528186202,1.312496669
AEI_0,0.668312235,0.651932227,0.886039086,1.025125324
AEI_1,6.77E-01,6.64E-01,8.83E-01,1.019981527
AEL_0,5.96E-01,5.68E-01,7.21E-01,1.05E+00
AEL_1,0.618508547,0.547534266,0.624751947,1.129625278
AEL_2,0.57862946,0.496493342,0.622973657,1.165432466
AET_0,6.86E-01,6.83E-01,9.18E-01,1.00E+00
AET_1,7.26E-01,6.99E-01,1.03E+00,1.04E+00
AFI_0,6.74E-01,7.18E-01,9.84E-01,9.38E-01
AFI_1,6.75E-01,6.84E-01,9.82E-01,0.98745177
AFN_0,6.59E-01,6.01E-01,7.42E-01,1.10E+00
AFO_0,5.61E-01,5.37E-01,6.64E-01,1.05E+00
AFO_1,0.579953368,0.532450443,0.579128537,1.089215674
AFR_0,7.26E-01,6.84E-01,8.86E-01,1.06E+00
AFR_1,7.17E-01,7.11E-01,7.99E-01,1.008802593
AFS_0,6.93E-01,6.64E-01,8.58E-01,1.04E+00
AFS_1,7.15E-01,6.53E-01,8.54E-01,1.094413367
AFT_0,6.46E-01,6.16E-01,8.67E-01,1.05E+00
AFT_1,6.61E-01,6.45E-01,8.67E-01,1.023729027
AFV,5.64E-01,5.32E-01,8.59E-01,1.059432714
AFX_0,6.56E-01,6.24E-01,8.62E-01,1.05E+00
AFX_1,6.76E-01,5.91E-01,8.48E-01,1.143731157
AFY_0,7.72E-01,7.07E-01,8.48E-01,1.09E+00
AHT_1,0.669170549,0.611760209,0.566364363,1.093844514
APC_1,1.282063395,1.12141957,0.73768246,1.14325042
APC_2,1.531340328,1.469395024,0.703103604,1.042157012
APD_0,0.679883216,0.596100501,0.076435583,1.140551326
ASV_0,0.56642748,0.485202082,0.497643628,1.167405296
ATN_0,5.30E-01,4.07E-01,4.80E-01,1.300856365
ATN_1,0.48226015,0.399747631,0.459278726,1.206411526
ATO_0,5.64E-01,4.96E-01,6.73E-01,1.14E+00
ATO_1,5.51E-01,4.69E-01,6.69E-01,1.175165444
ATS_0,6.78E-01,6.40E-01,9.24E-01,1.06E+00
ATS_1,6.63E-01,6.38E-01,9.36E-01,1.04E+00
ATT_0,0.594090684,0.496678323,0.487867009,1.196127666
