NAME,WC_H2S,WC_CO2
ACO_0,0.48146853,0.206854402
AEI_0,0.379044934,0.349433764
AEI_1,0.38494906,0.364393454
AEL_0,0.139007799,0.113394484
AEL_1,0.151089781,0.124789931
AEL_2,0.132792574,0.106548201
AET_0,0.187947712,0.20551273
AET_1,0.23395078,0.257095342
AFI_0,0.23206011,0.245667534
AFI_1,0.207779028,0.230488245
AFN_0,0.180469794,0.155497168
AFO_0,0.129852261,0.116913844
AFO_1,0.151741643,0.098529954
AFR_0,0.419422804,0.405751042
AFR_1,0.500394964,0.412278762
AFS_0,0.463117442,0.465608981
AFS_1,0.486830814,0.497186633
AFT_0,0.336697673,0.363565784
AFT_1,0.324407844,0.359317638
AFV,0.185289025,0.257981121
AFX_0,0.340655589,0.374179086
AFX_1,0.283118767,0.340553495
AFY_0,0.705914917,0.583682158
AHT_1,0.309825069,0.195946455
APC_1,0.224981901,0.142366505
APC_2,0.13517681,0.062418803
APD_0,0.623345031,0.022871508
ASV_0,0.156828245,0.128858866
ATN_0,0.123709273,0.154193059
ATN_1,0.076761601,0.084140302
ATO_0,0.109335181,0.106578637
ATO_1,0.099389665,0.097505738
ATS_0,0.261665501,0.305542891
ATS_1,0.260369098,0.264882432
ATT_0,0.266350277,0.234254172
ATT_1,0.295310355,0.266604549
ATV_0,0.391250006,0.019821685
AVE,0.179503431,0.194684002
AVL,0.201815186,0.275838158
AWO_0,0.347580177,0.047190635
AWO_1,0.258302752,0.140425912
AWW_0,0.155909397,0.184407163
BEA_0,0.330750526,0.396515322
BEA_1,0.327832174,0.40294509
BEA_B_1,0.338059412,0.410930108
BEC_0,0.324281992,0.413248416
BEC_2,0.344203844,0.448222422
BOF_0,0.238120268,0.156107807
BOG_0,0.34318531,0.346006866
BOG_1,0.345226712,0.359480411
BOZ_0,0.492030547,0.471538508
BPH_0,0.393267949,0.448723536
BRE_1,0.17396909,0.157554655
BSV_0,0.291112213,0.184159632
CAN_0,0.211464693,0.139731641
CAN_1,0.206505098,0.114730762
CDO_0,0.131880661,0.150113144
CDO_1,0.095242328,0.108784257
CFI_0,0.212629466,0.228332228
CFI_1,0.186943625,0.19574636
CGF_0,0.106173149,0.117138645
CGS_0,0.16001604,0.217367094
CHA_0,0.322006383,0.353194555
CLO_0,0.560303256,0.626365296
CON_0,0.340034769,0.376144744
CON_1,0.339614809,0.388512435
CON_2,0.3148519,0.343376633
CSV,0.347950895,0.353457047
